"submitted_item" "validated_id" "current_symbol"
"216" "FBgn0034335" "FBgn0034335" "GstE1"
"217" "FBgn0034364" "FBgn0034364" "CG5493"
"218" "FBgn0034407" "FBgn0034407" "DptB"
"219" "FBgn0034470" "FBgn0034470" "Obp56d"
"220" "FBgn0034484" "FBgn0034484" "CG11044"
"221" "FBgn0034488" "FBgn0034488" "Hacl"
"222" "FBgn0034501" "FBgn0034501" "CG13868"
"223" "FBgn0034512" "FBgn0034512" "Bbd"
"224" "FBgn0034513" "FBgn0034513" "CG13423"
"225" "FBgn0034515" "FBgn0034515" "CG13428"
"226" "FBgn0034605" "FBgn0034605" "Ugt49C1"
"227" "FBgn0034638" "FBgn0034638" "CG10433"
"228" "FBgn0034647" "FBgn0034647" "pirk"
"229" "FBgn0034663" "FBgn0034663" "CG4363"
"230" "FBgn0034664" "FBgn0034664" "CG4377"
"231" "FBgn0034741" "FBgn0034741" "CG4269"
"232" "FBgn0034756" "FBgn0034756" "Cyp6d2"
"233" "FBgn0034808" "FBgn0034808" "CG9896"
"234" "FBgn0034817" "FBgn0034817" "Art7"
"235" "FBgn0034920" "FBgn0034920" "CG5597"
"236" "FBgn0034923" "FBgn0034923" "Upf3"
"237" "FBgn0035023" "FBgn0035023" "ITP"
"238" "FBgn0035089" "FBgn0035089" "Phk-3"
"239" "FBgn0035137" "FBgn0035137" "CG1233"
"240" "FBgn0035144" "FBgn0035144" "Kah"
"241" "FBgn0035155" "FBgn0035155" "RabX6"
"242" "FBgn0035157" "FBgn0035157" "CG13894"
"243" "FBgn0035165" "FBgn0035165" "CG13887"
"244" "FBgn0035176" "FBgn0035176" "mat"
"245" "FBgn0035209" "FBgn0035209" "msd1"
"246" "FBgn0035300" "FBgn0035300" "acs"
"247" "FBgn0035328" "FBgn0035328" "yellow-g2"
"248" "FBgn0035409" "FBgn0035409" "CG14963"
"249" "FBgn0035476" "FBgn0035476" "CG12766"
"250" "FBgn0035497" "FBgn0035497" "CG14995"
"251" "FBgn0035589" "FBgn0035589" "CHMP2B"
"252" "FBgn0035593" "FBgn0035593" "Yod1"
"253" "FBgn0035607" "FBgn0035607" "CG4835"
"254" "FBgn0035673" "FBgn0035673" "CG6602"
"255" "FBgn0035694" "FBgn0035694" "CG13299"
"256" "FBgn0035697" "FBgn0035697" "CG10163"
"257" "FBgn0035768" "FBgn0035768" "CG14834"
"258" "FBgn0035798" "FBgn0035798" "frac"
"259" "FBgn0035806" "FBgn0035806" "PGRP-SD"
"260" "FBgn0035871" "FBgn0035871" "BI-1"
"261" "FBgn0035886" "FBgn0035886" "Jon66Ci"
"262" "FBgn0035887" "FBgn0035887" "Jon66Cii"
"263" "FBgn0035933" "FBgn0035933" "CG13309"
"264" "FBgn0035975" "FBgn0035975" "PGRP-LA"
"265" "FBgn0035977" "FBgn0035977" "PGRP-LF"
"266" "FBgn0036040" "FBgn0036040" "CG6749"
"267" "FBgn0036318" "FBgn0036318" "Wbp2"
"268" "FBgn0036323" "FBgn0036323" "CG14118"
"269" "FBgn0036361" "FBgn0036361" "CG10154"
"270" "FBgn0036363" "FBgn0036363" "CG10140"
"271" "FBgn0036364" "FBgn0036364" "CG14109"
"272" "FBgn0036446" "FBgn0036446" "Mgat4a"
"273" "FBgn0036449" "FBgn0036449" "bmm"
"274" "FBgn0036461" "FBgn0036461" "Zip71B"
"275" "FBgn0036575" "FBgn0036575" "CG5157"
"276" "FBgn0036587" "FBgn0036587" "CG4950"
"277" "FBgn0036659" "FBgn0036659" "CG9701"
"278" "FBgn0036666" "FBgn0036666" "TSG101"
"279" "FBgn0036713" "FBgn0036713" "Mip"
"280" "FBgn0036715" "FBgn0036715" "Cad74A"
"281" "FBgn0036741" "FBgn0036741" "anchor"
"282" "FBgn0036742" "FBgn0036742" "CG7497"
"283" "FBgn0036783" "FBgn0036783" "CheA75a"
"284" "FBgn0036806" "FBgn0036806" "Cyp12c1"
"285" "FBgn0036836" "FBgn0036836" "CG11619"
"286" "FBgn0036951" "FBgn0036951" "CG7017"
"287" "FBgn0037126" "FBgn0037126" "CG14567"
"288" "FBgn0037167" "FBgn0037167" "CG11425"
"289" "FBgn0037265" "FBgn0037265" "spartin"
"290" "FBgn0037386" "FBgn0037386" "CG1208"
"291" "FBgn0037405" "FBgn0037405" "CG1077"
"292" "FBgn0037447" "FBgn0037447" "Neurochondrin"
"293" "FBgn0037513" "FBgn0037513" "pyd3"
"294" "FBgn0037515" "FBgn0037515" "Sp7"
"295" "FBgn0037560" "FBgn0037560" "CR18228"
"296" "FBgn0037577" "FBgn0037577" "CG7443"
"297" "FBgn0037635" "FBgn0037635" "CG9837"
"298" "FBgn0037678" "FBgn0037678" "CG16749"
"299" "FBgn0037683" "FBgn0037683" "CG18473"
"300" "FBgn0037724" "FBgn0037724" "Fst"
"301" "FBgn0037763" "FBgn0037763" "CG16904"
"302" "FBgn0037782" "FBgn0037782" "Npc2d"
"303" "FBgn0037796" "FBgn0037796" "CG12814"
"304" "FBgn0037973" "FBgn0037973" "CG18547"
"305" "FBgn0037974" "FBgn0037974" "CG12224"
"306" "FBgn0037989" "FBgn0037989" "ATP8B"
"307" "FBgn0038000" "FBgn0038000" "Rsbp15"
"308" "FBgn0038009" "FBgn0038009" "CG17738"
"309" "FBgn0038020" "FBgn0038020" "GstD9"
"310" "FBgn0038074" "FBgn0038074" "Gnmt"
"311" "FBgn0038082" "FBgn0038082" "Ugt37A2"
"312" "FBgn0038088" "FBgn0038088" "CG10126"
"313" "FBgn0038130" "FBgn0038130" "CG8630"
"314" "FBgn0038142" "FBgn0038142" "CheA87a"
"315" "FBgn0038160" "FBgn0038160" "CG9759"
"316" "FBgn0038181" "FBgn0038181" "CG9297"
"317" "FBgn0038236" "FBgn0038236" "Cyp313a1"
"318" "FBgn0038250" "FBgn0038250" "CG3505"
"319" "FBgn0038299" "FBgn0038299" "Spn88Eb"
"320" "FBgn0038350" "FBgn0038350" "AOX4"
"321" "FBgn0038404" "FBgn0038404" "CG8925"
"322" "FBgn0038420" "FBgn0038420" "CG10311"
"323" "FBgn0038449" "FBgn0038449" "CG17562"
"324" "FBgn0038455" "FBgn0038455" "CG14907"
"325" "FBgn0038465" "FBgn0038465" "Irc"
"326" "FBgn0038469" "FBgn0038469" "CG4009"
"327" "FBgn0038576" "FBgn0038576" "Arp5"
"328" "FBgn0038652" "FBgn0038652" "CG7720"
"329" "FBgn0038658" "FBgn0038658" "CG14292"
"330" "FBgn0038660" "FBgn0038660" "Sgsh"
"331" "FBgn0038702" "FBgn0038702" "CG3739"
"332" "FBgn0038732" "FBgn0038732" "Acsx2"
"333" "FBgn0038804" "FBgn0038804" "CG10877"
"334" "FBgn0038838" "FBgn0038838" "TotB"
"335" "FBgn0039008" "FBgn0039008" "CG6972"
"336" "FBgn0039048" "FBgn0039048" "CG17111"
"337" "FBgn0039075" "FBgn0039075" "CG4393"
"338" "FBgn0039081" "FBgn0039081" "Irk2"
"339" "FBgn0039094" "FBgn0039094" "CG10184"
"340" "FBgn0039102" "FBgn0039102" "SPE"
"341" "FBgn0039131" "FBgn0039131" "CG12268"
"342" "FBgn0039241" "FBgn0039241" "CG11089"
"343" "FBgn0039266" "FBgn0039266" "CG11791"
"344" "FBgn0039310" "FBgn0039310" "CG11878"
"345" "FBgn0039325" "FBgn0039325" "CG10560"
"346" "FBgn0039341" "FBgn0039341" "CG5112"
"347" "FBgn0039452" "FBgn0039452" "CG14245"
"348" "FBgn0039474" "FBgn0039474" "CG6283"
"349" "FBgn0039476" "FBgn0039476" "CG6271"
"350" "FBgn0039527" "FBgn0039527" "CG5639"
"351" "FBgn0039593" "FBgn0039593" "Sid"
"352" "FBgn0039628" "FBgn0039628" "CG11841"
"353" "FBgn0039629" "FBgn0039629" "CG11842"
"354" "FBgn0039656" "FBgn0039656" "CG11951"
"355" "FBgn0039666" "FBgn0039666" "Diedel"
"356" "FBgn0039685" "FBgn0039685" "Obp99b"
"357" "FBgn0039759" "FBgn0039759" "CG9733"
"358" "FBgn0039760" "FBgn0039760" "CG9682"
"359" "FBgn0039777" "FBgn0039777" "Jon99Fii"
"360" "FBgn0039778" "FBgn0039778" "Jon99Fi"
"361" "FBgn0039807" "FBgn0039807" "CG15546"
"362" "FBgn0039809" "FBgn0039809" "CG15547"
"363" "FBgn0039821" "FBgn0039821" "Ktch"
"364" "FBgn0039827" "FBgn0039827" "CG1544"
"365" "FBgn0039844" "FBgn0039844" "CG1607"
"366" "FBgn0039900" "FBgn0039900" "Syt7"
"367" "FBgn0040074" "FBgn0040074" "retinin"
"368" "FBgn0040104" "FBgn0040104" "lectin-24A"
"369" "FBgn0040319" "FBgn0040319" "Gclc"
"370" "FBgn0040322" "FBgn0040322" "GNBP2"
"371" "FBgn0040383" "FBgn0040383" "CG5254"
"372" "FBgn0040532" "FBgn0040532" "CG8369"
"373" "FBgn0040582" "FBgn0040582" "BomBc3"
"374" "FBgn0040588" "FBgn0040588" "CG13841"
"375" "FBgn0040653" "FBgn0040653" "Dso1"
"376" "FBgn0040705" "FBgn0040705" "ND-B8"
"377" "FBgn0040734" "FBgn0040734" "BomS5"
"378" "FBgn0040736" "FBgn0040736" "BomS3"
"379" "FBgn0040759" "FBgn0040759" "CG13177"
"380" "FBgn0040775" "FBgn0040775" "CG12158"
"381" "FBgn0040805" "FBgn0040805" "CG12355"
"382" "FBgn0040837" "FBgn0040837" "CG8620"
"383" "FBgn0040942" "FBgn0040942" "CG12643"
"384" "FBgn0040972" "FBgn0040972" "CG16978"
"385" "FBgn0041180" "FBgn0041180" "Tep4"
"386" "FBgn0041181" "FBgn0041181" "Tep3"
"387" "FBgn0041182" "FBgn0041182" "Tep2"
"388" "FBgn0041184" "FBgn0041184" "Socs36E"
"389" "FBgn0041337" "FBgn0041337" "Cyp309a2"
"390" "FBgn0041579" "FBgn0041579" "AttC"
"391" "FBgn0041581" "FBgn0041581" "AttB"
"392" "FBgn0041709" "FBgn0041709" "yellow-g"
"393" "FBgn0041710" "FBgn0041710" "yellow-f"
"394" "FBgn0041713" "FBgn0041713" "yellow-c"
"395" "FBgn0041720" "FBgn0041720" "snRNA:U2:34ABc"
