"submitted_item" "validated_id" "current_symbol"
"301" "FBgn0000409" "FBgn0284248" "Cyt-c-p"
"302" "FBgn0000426" "FBgn0000426" "SmF"
"303" "FBgn0000427" "FBgn0000427" "dec"
"304" "FBgn0000489" "FBgn0000489" "Pka-C3"
"305" "FBgn0000499" "FBgn0000499" "dsh"
"306" "FBgn0000557" "FBgn0000557" "eEF1α2"
"307" "FBgn0000559" "FBgn0000559" "eEF2"
"308" "FBgn0000592" "FBgn0000592" "Est-6"
"309" "FBgn0000723" "FBgn0000723" "FER"
"310" "FBgn0001145" "FBgn0001145" "Gs2"
"311" "FBgn0001149" "FBgn0001149" "GstD1"
"312" "FBgn0001168" "FBgn0001168" "hry"
"313" "FBgn0001180" "FBgn0001180" "hb"
"314" "FBgn0001219" "FBgn0266599" "Hsc70-4"
"315" "FBgn0001230" "FBgn0001230" "Hsp68"
"316" "FBgn0001233" "FBgn0001233" "Hsp83"
"317" "FBgn0001250" "FBgn0001250" "if"
"318" "FBgn0001258" "FBgn0001258" "Ldh"
"319" "FBgn0001565" "FBgn0001565" "Ddx56"
"320" "FBgn0001987" "FBgn0001987" "Gli"
"321" "FBgn0002525" "FBgn0002525" "Lam"
"322" "FBgn0002565" "FBgn0002565" "Lsp2"
"323" "FBgn0002569" "FBgn0002569" "Mal-A2"
"324" "FBgn0002570" "FBgn0002570" "Mal-A1"
"325" "FBgn0002578" "FBgn0002578" "Kaz-m1"
"326" "FBgn0002741" "FBgn0264695" "Mhc"
"327" "FBgn0002789" "FBgn0002789" "Mp20"
"328" "FBgn0002862" "FBgn0002862" "Mst87F"
"329" "FBgn0002863" "FBgn0002863" "Acp95EF"
"330" "FBgn0002868" "FBgn0002868" "MtnA"
"331" "FBgn0002869" "FBgn0002869" "MtnB"
"332" "FBgn0002926" "FBgn0002926" "ndl"
"333" "FBgn0003023" "FBgn0003023" "otu"
"334" "FBgn0003041" "FBgn0003041" "pbl"
"335" "FBgn0003187" "FBgn0003187" "qua"
"336" "FBgn0003205" "FBgn0003205" "Ras85D"
"337" "FBgn0003250" "FBgn0003250" "Rh4"
"338" "FBgn0003328" "FBgn0286785" "scb"
"339" "FBgn0003366" "FBgn0003366" "sev"
"340" "FBgn0003471" "FBgn0250788" "β-Spec"
"341" "FBgn0003483" "FBgn0003483" "spn-E"
"342" "FBgn0003887" "FBgn0284243" "βTub56D"
"343" "FBgn0003888" "FBgn0288686" "βTub60D"
"344" "FBgn0003941" "FBgn0003941" "RpL40"
"345" "FBgn0003961" "FBgn0003961" "Uro"
"346" "FBgn0003970" "FBgn0283442" "vas"
"347" "FBgn0003979" "FBgn0003979" "Vm26Aa"
"348" "FBgn0003980" "FBgn0003980" "Vm26Ab"
"349" "FBgn0003983" "FBgn0003983" "Vm34Ca"
"350" "FBgn0004172" "FBgn0004172" "Mst84Da"
"351" "FBgn0011694" "FBgn0011694" "EbpII"
"352" "FBgn0004228" "FBgn0004228" "mex1"
"353" "FBgn0004236" "FBgn0087040" "αTub67C"
"354" "FBgn0004240" "FBgn0004240" "DptA"
"355" "FBgn0004403" "FBgn0004403" "RpS14a"
"356" "FBgn0004404" "FBgn0004404" "RpS14b"
"357" "FBgn0004413" "FBgn0261597" "RpS26"
"358" "FBgn0004552" "FBgn0004552" "Akh"
"359" "FBgn0004620" "FBgn0004620" "GluRIIA"
"360" "FBgn0004649" "FBgn0004649" "yl"
"361" "FBgn0004657" "FBgn0004657" "mys"
"362" "FBgn0004855" "FBgn0004855" "Polr2I"
"363" "FBgn0004910" "FBgn0004910" "Eip63F-1"
"364" "FBgn0004924" "FBgn0004924" "Top1"
"365" "FBgn0005585" "FBgn0005585" "Calr"
"366" "FBgn0005593" "FBgn0005593" "RpL7"
"367" "FBgn0005596" "FBgn0005596" "yem"
"368" "FBgn0005617" "FBgn0005617" "msl-1"
"369" "FBgn0005630" "FBgn0283521" "lola"
"370" "FBgn0005634" "FBgn0287873" "zip"
"371" "FBgn0010078" "FBgn0010078" "RpL23"
"372" "FBgn0010228" "FBgn0010228" "HmgZ"
"373" "FBgn0010333" "FBgn0010333" "Rac1"
"374" "FBgn0010341" "FBgn0010341" "Cdc42"
"375" "FBgn0010381" "FBgn0283461" "Drs"
"376" "FBgn0010385" "FBgn0010385" "Def"
"377" "FBgn0010388" "FBgn0010388" "Dro"
"378" "FBgn0010409" "FBgn0010409" "RpL18A"
"379" "FBgn0010412" "FBgn0010412" "RpS19a"
"380" "FBgn0010424" "FBgn0010424" "TpnC73F"
"381" "FBgn0010426" "FBgn0262512" "Vha14-1"
"382" "FBgn0010434" "FBgn0010434" "cora"
"383" "FBgn0011202" "FBgn0011202" "dia"
"384" "FBgn0011284" "FBgn0011284" "RpS4"
"385" "FBgn0011336" "FBgn0011336" "Stt3B"
"386" "FBgn0011361" "FBgn0011361" "ND-ACP"
"387" "FBgn0011555" "FBgn0011555" "θTry"
"388" "FBgn0011584" "FBgn0011584" "Trp1"
"389" "FBgn0011604" "FBgn0011604" "Iswi"
"390" "FBgn0011670" "FBgn0011670" "Mst57Dc"
"391" "FBgn0011695" "FBgn0011695" "EbpIII"
"392" "FBgn0011722" "FBgn0011722" "Tig"
"393" "FBgn0011769" "FBgn0011769" "Fdx1"
"394" "FBgn0013272" "FBgn0013272" "Gp150"
"395" "FBgn0051217" "FBgn0051217" "modSP"
"396" "FBgn0013348" "FBgn0013348" "TpnC41C"
"397" "FBgn0013771" "FBgn0013771" "Cyp6a9"
"398" "FBgn0013981" "FBgn0013981" "His4r"
"399" "FBgn0013987" "FBgn0013987" "MAPk-Ak2"
"400" "FBgn0014002" "FBgn0286818" "Pdi"
"401" "FBgn0014010" "FBgn0014010" "Rab5"
"402" "FBgn0003275" "FBgn0003275" "Polr2F"
"403" "FBgn0014026" "FBgn0014026" "RpL7A"
"404" "FBgn0014073" "FBgn0014073" "Tie"
"405" "FBgn0014076" "FBgn0014076" "Vm32E"
"406" "FBgn0014863" "FBgn0014863" "Mlp84B"
"407" "FBgn0014865" "FBgn0014865" "Mtk"
"408" "FBgn0015011" "FBgn0015011" "AhcyL2"
"409" "FBgn0015037" "FBgn0015037" "Cyp4p1"
"410" "FBgn0015221" "FBgn0015221" "Fer2LCH"
"411" "FBgn0015230" "FBgn0015230" "Glut3"
"412" "FBgn0015234" "FBgn0261283" "SREBP"
"413" "FBgn0015276" "FBgn0086768" "Pcmt"
"414" "FBgn0015320" "FBgn0015320" "Ubc2"
"415" "FBgn0015338" "FBgn0015338" "CG5861"
"416" "FBgn0015379" "FBgn0015379" "dod"
"417" "FBgn0015521" "FBgn0015521" "RpS21"
"418" "FBgn0015583" "FBgn0015583" "Acp29AB"
"419" "FBgn0015586" "FBgn0015586" "Acp76A"
"420" "FBgn0015614" "FBgn0015614" "CanB2"
"421" "FBgn0015617" "FBgn0263237" "Cdk7"
"422" "FBgn0015625" "FBgn0015625" "CycB3"
"423" "FBgn0015765" "FBgn0015765" "p38a"
"424" "FBgn0015773" "FBgn0015773" "NetA"
"425" "FBgn0015790" "FBgn0015790" "Rab11"
"426" "FBgn0015872" "FBgn0015872" "Drip"
"427" "FBgn0015924" "FBgn0015924" "crq"
"428" "FBgn0016119" "FBgn0016119" "ATPsynCF6"
"429" "FBgn0016123" "FBgn0016123" "Alp4"
"430" "FBgn0016700" "FBgn0285937" "Rab1"
"431" "FBgn0017545" "FBgn0017545" "RpS3A"
"432" "FBgn0017579" "FBgn0017579" "RpL14"
"433" "FBgn0019940" "FBgn0019940" "Rh6"
"434" "FBgn0020236" "FBgn0020236" "Acly"
"435" "FBgn0052396" "FBgn0052396" "βTub65B"
"436" "FBgn0020399" "FBgn0020399" "Mst89B"
"437" "FBgn0020509" "FBgn0020509" "Acp62F"
"438" "FBgn0020907" "FBgn0020907" "Scp2"
"439" "FBgn0021818" "FBgn0286070" "cnk"
"440" "FBgn0022338" "FBgn0022338" "dnk"
"441" "FBgn0022355" "FBgn0022355" "Tsf1"
"442" "FBgn0022724" "FBgn0022724" "Taf8"
"443" "FBgn0022943" "FBgn0022943" "Cbp20"
"444" "FBgn0022987" "FBgn0022987" "qkr54B"
"445" "FBgn0023167" "FBgn0023167" "SmD3"
"446" "FBgn0023170" "FBgn0023170" "RpL39"
"447" "FBgn0023177" "FBgn0023177" "Pp4-19C"
"448" "FBgn0023211" "FBgn0266711" "EloC"
"449" "FBgn0023395" "FBgn0023395" "Chd3"
"450" "FBgn0013591" "FBgn0262519" "Mi-2"
"451" "FBgn0023513" "FBgn0023513" "CG14803"
"452" "FBgn0024320" "FBgn0024320" "Npc1a"
"453" "FBgn0024361" "FBgn0024361" "Tsp2A"
"454" "FBgn0000826" "FBgn0000826" "png"
"455" "FBgn0004650" "FBgn0004650" "fs(1)N"
"456" "FBgn0024912" "FBgn0024912" "agt"
"457" "FBgn0024939" "FBgn0261602" "RpL8"
"458" "FBgn0024980" "FBgn0024980" "Syx4"
