"submitted_item" "validated_id" "current_symbol"
"166" "FBgn0001120" "FBgn0001120" "gnu"
"167" "FBgn0001128" "FBgn0001128" "Gpdh1"
"168" "FBgn0001134" "FBgn0001134" "Grd"
"169" "FBgn0001137" "FBgn0001137" "grk"
"170" "FBgn0001139" "FBgn0001139" "gro"
"171" "FBgn0001142" "FBgn0001142" "Gs1"
"172" "FBgn0001145" "FBgn0001145" "Gs2"
"173" "FBgn0001147" "FBgn0001147" "gsb-n"
"174" "FBgn0001149" "FBgn0001149" "GstD1"
"175" "FBgn0001168" "FBgn0001168" "hry"
"176" "FBgn0001169" "FBgn0001169" "H"
"177" "FBgn0001179" "FBgn0001179" "hay"
"178" "FBgn0001185" "FBgn0001185" "her"
"179" "FBgn0001186" "FBgn0001186" "Hex-A"
"180" "FBgn0001187" "FBgn0001187" "Hex-C"
"181" "FBgn0001189" "FBgn0001189" "hfw"
"182" "FBgn0001202" "FBgn0001202" "hook"
"183" "FBgn0001206" "FBgn0001206" "Hmr"
"184" "FBgn0001208" "FBgn0001208" "Hn"
"185" "FBgn0001215" "FBgn0001215" "Hrb98DE"
"186" "FBgn0001216" "FBgn0001216" "Hsc70-1"
"187" "FBgn0001217" "FBgn0001217" "Hsc70-2"
"188" "FBgn0001218" "FBgn0001218" "Hsc70-3"
"189" "FBgn0001222" "FBgn0001222" "Hsf"
"190" "FBgn0001223" "FBgn0001223" "Hsp22"
"191" "FBgn0001224" "FBgn0001224" "Hsp23"
"192" "FBgn0001226" "FBgn0001226" "Hsp27"
"193" "FBgn0001227" "FBgn0001227" "Hsp67Ba"
"194" "FBgn0001228" "FBgn0001228" "CG4456"
"195" "FBgn0001229" "FBgn0001229" "Hsp67Bc"
"196" "FBgn0001230" "FBgn0001230" "Hsp68"
"197" "FBgn0001235" "FBgn0001235" "hth"
"198" "FBgn0001247" "FBgn0001247" "Ide"
"199" "FBgn0001248" "FBgn0001248" "Idh"
"200" "FBgn0001257" "FBgn0001257" "ImpL2"
"201" "FBgn0001259" "FBgn0001259" "in"
"202" "FBgn0001263" "FBgn0001263" "inaD"
"203" "FBgn0001269" "FBgn0001269" "inv"
"204" "FBgn0001280" "FBgn0001280" "janA"
"205" "FBgn0001281" "FBgn0001281" "janB"
"206" "FBgn0001285" "FBgn0001285" "Jon44E"
"207" "FBgn0001291" "FBgn0001291" "Jra"
"208" "FBgn0001296" "FBgn0001296" "kar"
"209" "FBgn0001301" "FBgn0001301" "kel"
"210" "FBgn0001308" "FBgn0001308" "Khc"
"211" "FBgn0001311" "FBgn0001311" "kkv"
"212" "FBgn0001313" "FBgn0001313" "kl-2"
"213" "FBgn0001314" "FBgn0267432" "kl-3"
"214" "FBgn0001315" "FBgn0267433" "kl-5"
"215" "FBgn0001319" "FBgn0001319" "kn"
"216" "FBgn0001320" "FBgn0001320" "kni"
"217" "FBgn0001323" "FBgn0001323" "knrl"
"218" "FBgn0001325" "FBgn0001325" "Kr"
"219" "FBgn0001341" "FBgn0001341" "Mybbp1A"
"220" "FBgn0001404" "FBgn0001404" "egh"
"221" "FBgn0001565" "FBgn0001565" "Ddx56"
"222" "FBgn0001612" "FBgn0001612" "Grip91"
"223" "FBgn0001624" "FBgn0001624" "dlg1"
"224" "FBgn0001941" "FBgn0001941" "ifc"
"225" "FBgn0001942" "FBgn0001942" "eIF4A"
"226" "FBgn0001977" "FBgn0001977" "CIAPIN1"
"227" "FBgn0001981" "FBgn0287768" "esg"
"228" "FBgn0001986" "FBgn0001986" "Mtr4"
"229" "FBgn0001987" "FBgn0001987" "Gli"
"230" "FBgn0001989" "FBgn0001989" "ND-B17"
"231" "FBgn0001990" "FBgn0001990" "wek"
"232" "FBgn0001992" "FBgn0001992" "Cyp303a1"
"233" "FBgn0001994" "FBgn0001994" "crp"
"234" "FBgn0001995" "FBgn0001995" "mRpL4"
"235" "FBgn0002023" "FBgn0002023" "Lim3"
"236" "FBgn0002031" "FBgn0002031" "Phb1"
"237" "FBgn0002036" "FBgn0002036" "CG10561"
"238" "FBgn0002044" "FBgn0002044" "swm"
"239" "FBgn0002069" "FBgn0002069" "AspRS"
"240" "FBgn0002121" "FBgn0002121" "l(2)gl"
"241" "FBgn0002174" "FBgn0002174" "CG5504"
"242" "FBgn0002183" "FBgn0002183" "dre4"
"243" "FBgn0002284" "FBgn0002284" "Prosβ6"
"244" "FBgn0002354" "FBgn0002354" "l(3)87Df"
"245" "FBgn0002431" "FBgn0002431" "hyd"
"246" "FBgn0002466" "FBgn0002466" "sti"
"247" "FBgn0002521" "FBgn0002521" "pho"
"248" "FBgn0002522" "FBgn0002522" "lab"
"249" "FBgn0002524" "FBgn0002524" "lace"
"250" "FBgn0002525" "FBgn0002525" "Lam"
"251" "FBgn0002526" "FBgn0002526" "LanA"
"252" "FBgn0002533" "FBgn0002533" "Lcp2"
"253" "FBgn0002542" "FBgn0002542" "lds"
"254" "FBgn0002562" "FBgn0002562" "Lsp1α"
"255" "FBgn0002563" "FBgn0002563" "Lsp1β"
"256" "FBgn0002564" "FBgn0002564" "Lsp1γ"
"257" "FBgn0002565" "FBgn0002565" "Lsp2"
"258" "FBgn0002566" "FBgn0002566" "lt"
"259" "FBgn0002567" "FBgn0002567" "Rab32"
"260" "FBgn0002569" "FBgn0002569" "Mal-A2"
"261" "FBgn0002570" "FBgn0002570" "Mal-A1"
"262" "FBgn0002576" "FBgn0002576" "lz"
"263" "FBgn0002578" "FBgn0002578" "Kaz-m1"
"264" "FBgn0002579" "FBgn0002579" "RpL36"
"265" "FBgn0002590" "FBgn0002590" "RpS5a"
"266" "FBgn0002592" "FBgn0002592" "E(spl)m2-BFM"
"267" "FBgn0002593" "FBgn0002593" "RpLP1"
"268" "FBgn0002607" "FBgn0285950" "RpL19"
"269" "FBgn0002609" "FBgn0002609" "E(spl)m3-HLH"
"270" "FBgn0002622" "FBgn0002622" "RpS3"
"271" "FBgn0002626" "FBgn0002626" "RpL32"
"272" "FBgn0002641" "FBgn0002641" "mal"
"273" "FBgn0002645" "FBgn0002645" "Map205"
"274" "FBgn0002673" "FBgn0002673" "twe"
"275" "FBgn0002707" "FBgn0002707" "mei-9"
"276" "FBgn0002709" "FBgn0002709" "mei-218"
"277" "FBgn0002715" "FBgn0002715" "mei-S332"
"278" "FBgn0002723" "FBgn0002723" "Met"
