Gene ID,LogFC,P-value,FDR,Day 1 Rep 1,Day 1 Rep 2,Day 1 Rep 3,Day 60 Rep 1,Day 60 Rep 2,Day 60 Rep 3
FBgn0036918,1.102550984,1.83288372390773E-10,4.07382053627959E-10,49.54046175,56.78137625,54.20936558,98.82978186,124.9130729,116.7313375
FBgn0036919,0.776771295,8.95200660742291E-06,1.41013375180198E-05,51.96313009,59.25544374,57.94794252,101.437315,97.81019804,86.39771389
FBgn0036920,0.620758226,0.00203006,0.002685332,27.08418974,30.66621934,33.84747334,49.77823572,49.2648717,39.96484416
FBgn0036921,0.419900419,0.017608732,0.021627527,152.5970461,171.26045,204.5869468,227.1546111,247.9793128,223.8078485
FBgn0036922,0.833592359,0.005880857,0.007519311,5.404414009,5.131399252,8.545318713,11.02858292,10.8651348,11.75575451
FBgn0036923,-1.160955243,0.012869331,0.015997572,1.98783044,0.855233209,1.3685862,0.683943127,0.719545351,0.448512722
FBgn0036924,-2.546644906,8.66077446822344E-22,4.56076884326231E-21,82.2775443,66.61655815,43.56109734,8.100451411,13.7433162,10.64627567
FBgn0036925,-2.38954557,8.82138733037588E-23,4.98068499003375E-22,110.4798887,85.49277682,57.88118222,13.14453197,16.02187648,18.45983942
FBgn0036926,-1.730294214,2.92649048068429E-12,7.42484122154109E-12,26.33875333,30.02479443,29.37453307,7.950838852,7.19545351,10.29218668
FBgn0036927,1.668611152,5.80225081670238E-23,3.31768991221921E-22,69.79148435,67.38015922,72.96901057,231.4078824,223.6586799,203.6719878
FBgn0036928,0.424668093,0.009390345,0.011815782,153.653081,143.9235314,136.5915788,179.9625353,216.1034537,179.027394
FBgn0036929,1.21532448,2.13054750512019E-11,5.08563005856155E-11,38.35891552,40.56248932,46.5319308,90.98580912,106.2768483,90.71759958
FBgn0036931,-2.599764592,1.37011859413957E-24,8.81758806495982E-24,93.52121023,82.89653315,52.80739923,10.0667879,11.29686201,15.76876308
FBgn0036932,0.812331805,3.06414547438147E-05,4.63347060288095E-05,27.39478825,24.64904284,30.70973912,45.52496439,50.03238674,48.03807316
FBgn0036934,-2.45831522,1.24948952852081E-11,3.04002709906713E-11,7.547543702,6.047720547,5.74138601,0.897675354,1.103302871,1.463567831
FBgn0036935,-1.711695202,2.90656361540443E-08,5.46384245543956E-08,11.61638413,22.32769555,19.86118998,4.787601889,5.204711372,6.208360315
FBgn0036937,-2.798527914,0.000282153,0.000398755,1.335573577,2.107538978,1.268445746,0,0.09593938,0.566542386
FBgn0036939,-2.995017437,3.52363017742193E-37,5.10485921954003E-36,105.5413724,93.12878761,82.44897352,7.886719184,12.7839224,14.16355965
FBgn0036940,-1.856841448,0.000107791,0.000156733,5.280174606,2.840596014,1.468726654,0.897675354,0.887439266,0.802601714
FBgn0036941,-2.545210826,2.8434160602829E-23,1.66440364336762E-22,52.49114755,44.16668642,32.27860623,5.621157575,8.634544211,7.530292549
FBgn0036942,1.634068899,7.23344765226762E-11,1.65564136658456E-10,6.087730722,6.475337151,7.276872966,20.51829381,20.07531529,20.15946657
FBgn0036948,4.38113783,4.59989739816398E-34,5.67706601444265E-33,1.615112232,1.649378331,1.535486956,34.06891702,19.23584572,44.94569597
FBgn0036951,6.435693934,2.00981254920685E-25,1.40093494750345E-24,0,0.305440432,0.066760302,13.18727842,6.020196103,13.40816981
FBgn0036952,4.162118965,2.46658582909879E-13,6.78018601448479E-13,0.062119701,0.091632129,0.26704121,3.14186374,1.774878532,2.549440738
FBgn0036956,-3.781675316,2.55547117451906E-15,8.12056380955719E-15,3.199164614,4.153989871,6.742790547,0.384718009,0.383757521,0.236059328
FBgn0036958,1.442822512,1.78364853109681E-12,4.5929580131192E-12,30.46971346,33.44572727,43.26067598,101.052597,105.0296364,82.05422226
FBgn0036959,2.00343487,2.53499176997757E-13,6.96521768867329E-13,5.373354158,4.184533914,5.774766161,18.10311964,19.30780025,23.32266156
FBgn0036962,-2.582614146,5.49009063122479E-24,3.38621990602249E-23,52.55326726,43.49471747,32.7793085,5.428798571,8.178832156,7.601110348
FBgn0036964,0.562067152,0.022266908,0.027098206,10.15657115,10.81259128,12.35065595,14.85438979,17.70081563,16.07564021
FBgn0036967,1.254091437,3.00768195998743E-13,8.21618540987352E-13,57.21224485,52.65793042,51.03825122,125.1829655,142.1581765,111.3019729
FBgn0036969,-1.475076794,1.06505517647734E-05,1.66913195389177E-05,71.9656739,87.87521219,30.91002003,19.57787201,16.16578555,31.2070431
FBgn0036970,1.533896672,0.000228909,0.000325491,12.268641,20.22015658,5.040402834,30.54233527,22.11402712,53.13695463
FBgn0036973,0.702111023,0.002928749,0.003827246,14.34965099,11.3929281,13.05163913,19.04354144,21.08267878,22.16597086
FBgn0036974,0.837519263,4.81338624997048E-07,8.28149275315435E-07,211.4244032,220.3141834,239.2355438,394.4428253,424.4837874,364.9713263
FBgn0036975,-2.776481794,5.11950426348903E-33,5.91200723326283E-32,149.4289414,179.4767976,169.5044079,21.45871561,17.91667924,32.17488635
FBgn0036977,1.779248448,0.00145104,0.001941573,0.124239402,0.488704691,0.200280907,1.239646918,0.887439266,0.637360184
FBgn0036978,0.854935177,0.039471372,0.047003598,0.838615967,0.763601079,1.335206049,1.4106327,1.774878532,2.077322083
FBgn0036979,-2.774434876,9.918034369427E-09,1.92869158291374E-08,2.112069842,1.466114072,2.536891493,0.192359004,0.431727211,0.25966526
FBgn0036980,1.338850044,1.0617322685172E-14,3.22209585606421E-14,63.02043692,63.77596213,72.83548996,174.7902154,172.7388539,150.8419103
FBgn0036984,-1.765801759,3.93477891910185E-05,5.90378915377538E-05,3.50976312,5.620103943,5.975047069,1.624364927,0.791499886,1.935686486
FBgn0036985,-6.201100578,3.26744747767104E-47,6.97766966379029E-46,18.20107247,17.4101046,27.77228582,0.427464454,0.263833295,0.141635597
FBgn0036986,-2.158659808,5.57434770368792E-09,1.10593462300525E-08,9.566433992,6.933497799,5.507724951,2.030456158,1.271196787,1.510779696
FBgn0036987,1.512071023,4.48307111849066E-10,9.70038589437158E-10,7.671783104,8.369067828,7.777575234,22.82660187,24.41657224,19.75816572
FBgn0036988,0.536596711,0.020618415,0.02517856,14.93978815,17.86826525,18.12542211,24.34410068,28.47001105,20.18307251
FBgn0036990,1.341585358,6.34992044961102E-13,1.69043925270601E-12,27.33266855,25.62645222,27.33834385,62.58079613,76.87142833,61.63509043
FBgn0036991,2.546180039,3.82082999942069E-30,3.7878508291302E-29,8.386159668,7.269482274,8.678839317,49.37214448,50.10434127,40.81465774
FBgn0036992,0.901713088,7.27004409410796E-05,0.000106953,47.61475101,34.36204856,52.34007711,77.37106625,66.86974795,103.4175914
FBgn0036994,3.630561014,2.37570634351311E-70,1.13014478259137E-68,8.789937727,9.468653382,10.21432627,112.7223766,135.5623441,100.3016083
